snp	beta
328	-1.6495471885842
44	1.74445709095431
407	1.1826288920329
238	-1.71151067724928
217	0.376387422982671
88	2.10624580202203
254	-1.10312910406368
366	0.167030239804806
89	-0.522237972600284
443	0.918747030625399
333	-1.47635316144395
428	-0.23579473408423
294	0.0854461288765696
13	-0.531272182205562
350	0.0152789925205878
310	0.330709799034674
256	-0.492820191192481
146	1.53685083010302
447	-0.613760804144148
245	0.136004631100232
251	0.956051479767087
357	0.252449438893535
113	0.139718335800188
56	-0.304757091378559
188	-0.196159425251209
400	0.652325655990064
207	0.340445010991627
105	-0.27243887155706
63	1.24347446369543
334	-0.800712064044036
